"Horário","Dom","Seg","Ter","Qua","Qui","Sex","Sáb"
"17:00","-","GCC269-10A - Fundamentos de Sistemas Multimídia
GCC269-14A - Fundamentos de Sistemas Multimídia
GEL231-INT1 - Língua Inglesa em Contexto Acadêmico para Proficiência QCE A2","GAE114-10A - Métodos Quantitativos
GAE114-9A - Métodos Quantitativos
GEL231-INT4 - Língua Inglesa em Contexto Acadêmico para Proficiência QCE A2
GES102-2A - Estatística Experimental","GCC269-10A - Fundamentos de Sistemas Multimídia
GCC269-14A - Fundamentos de Sistemas Multimídia
GEL231-INT1 - Língua Inglesa em Contexto Acadêmico para Proficiência QCE A2
GES102-11A - Estatística Experimental
GES102-12A - Estatística Experimental
GFI103-1A - Conceitos de Física A
GFI103-1B - Conceitos de Física A","GEL231-INT4 - Língua Inglesa em Contexto Acadêmico para Proficiência QCE A2
GES102-1A - Estatística Experimental","GCC226-10A - Inovação Aberta
GCC226-14A - Inovação Aberta","-"

"18:00","-","GCC269-10A - Fundamentos de Sistemas Multimídia
GCC269-14A - Fundamentos de Sistemas Multimídia
GEL231-INT1 - Língua Inglesa em Contexto Acadêmico para Proficiência QCE A2","GEL231-INT4 - Língua Inglesa em Contexto Acadêmico para Proficiência QCE A2","GCC269-10A - Fundamentos de Sistemas Multimídia
GCC269-14A - Fundamentos de Sistemas Multimídia
GEL231-INT1 - Língua Inglesa em Contexto Acadêmico para Proficiência QCE A2","GEL231-INT4 - Língua Inglesa em Contexto Acadêmico para Proficiência QCE A2","GCC226-10A - Inovação Aberta
GCC226-14A - Inovação Aberta","-"

"19:00","-","GCC189-10A - Informática na Educação
GCC189-14A - Informática na Educação
GCC242-14A - Segurança, Auditoria e Avaliação de Sistemas de Informação
GMM113-10A - Álgebra
GMM113-15A - Álgebra
GMM126-14A - Funções Elementares
GMM126-15A - Funções Elementares","GAC116-10A - Programação WEB
GAC116-14A - Programação WEB
GCC137-10A - Empreendedorismo em Sistemas de Informação
GCC137-14A - Empreendedorismo em Sistemas de Informação
GCC243-14A - Qualidade de Software
GMM113-10A - Álgebra
GMM113-15A - Álgebra
GMM133-15A - Análise Combinatória e Probabilidade
GPE106-10A - Língua Brasileira de Sinais (libras)
GPE106-11A - Língua Brasileira de Sinais (libras)
GPE106-12A - Língua Brasileira de Sinais (libras)
GPE106-14A - Língua Brasileira de Sinais (libras)
GPE106-19A - Língua Brasileira de Sinais (libras)
GPE106-21A - Língua Brasileira de Sinais (libras)
GPE106-22 - Língua Brasileira de Sinais (libras)
GPE106-26A - Língua Brasileira de Sinais (libras)
GPE106-27A - Língua Brasileira de Sinais (libras)
GPE106-2A - Língua Brasileira de Sinais (libras)
GPE106-35A - Língua Brasileira de Sinais (libras)
GPE106-3A - Língua Brasileira de Sinais (libras)
GPE106-5A - Língua Brasileira de Sinais (libras)
GPE106-7A - Língua Brasileira de Sinais (libras)
GPE106-9A - Língua Brasileira de Sinais (libras)","GCC243-14A - Qualidade de Software
GCC244-14A - Processos de Software
GDI158-10A - Direito e Cidadania
GDI158-26A - Direito e Cidadania
GEL231-INT2 - Língua Inglesa em Contexto Acadêmico para Proficiência QCE A2
GMM103-15A - Introdução à Lógica
GMM103-18A - Introdução à Lógica
GMM103-24A - Introdução à Lógica","GCC135-10A - Gerência de Projetos de Software
GCC135-14A - Gerência de Projetos de Software
GCC242-14A - Segurança, Auditoria e Avaliação de Sistemas de Informação","GCC135-10A - Gerência de Projetos de Software
GCC135-14A - Gerência de Projetos de Software
GCC176-14A - Gestão de Tecnologia da Informação","GMM110-15A - Laboratório de Matemática"

"20:00","-","GCC189-10A - Informática na Educação
GCC189-14A - Informática na Educação
GCC242-14A - Segurança, Auditoria e Avaliação de Sistemas de Informação
GMM113-10A - Álgebra
GMM113-15A - Álgebra
GMM126-14A - Funções Elementares
GMM126-15A - Funções Elementares","GAC116-10A - Programação WEB
GAC116-14A - Programação WEB
GCC137-10A - Empreendedorismo em Sistemas de Informação
GCC137-14A - Empreendedorismo em Sistemas de Informação
GCC243-14A - Qualidade de Software
GMM113-10A - Álgebra
GMM113-15A - Álgebra
GMM133-15A - Análise Combinatória e Probabilidade
GPE106-10A - Língua Brasileira de Sinais (libras)
GPE106-11A - Língua Brasileira de Sinais (libras)
GPE106-12A - Língua Brasileira de Sinais (libras)
GPE106-14A - Língua Brasileira de Sinais (libras)
GPE106-19A - Língua Brasileira de Sinais (libras)
GPE106-21A - Língua Brasileira de Sinais (libras)
GPE106-22 - Língua Brasileira de Sinais (libras)
GPE106-26A - Língua Brasileira de Sinais (libras)
GPE106-27A - Língua Brasileira de Sinais (libras)
GPE106-2A - Língua Brasileira de Sinais (libras)
GPE106-35A - Língua Brasileira de Sinais (libras)
GPE106-3A - Língua Brasileira de Sinais (libras)
GPE106-5A - Língua Brasileira de Sinais (libras)
GPE106-7A - Língua Brasileira de Sinais (libras)
GPE106-9A - Língua Brasileira de Sinais (libras)","GCC243-14A - Qualidade de Software
GCC244-14A - Processos de Software
GDI158-10A - Direito e Cidadania
GDI158-26A - Direito e Cidadania
GEL231-INT2 - Língua Inglesa em Contexto Acadêmico para Proficiência QCE A2
GMM103-15A - Introdução à Lógica
GMM103-18A - Introdução à Lógica
GMM103-24A - Introdução à Lógica","GCC135-10A - Gerência de Projetos de Software
GCC135-14A - Gerência de Projetos de Software
GCC242-14A - Segurança, Auditoria e Avaliação de Sistemas de Informação","GCC135-10A - Gerência de Projetos de Software
GCC135-14A - Gerência de Projetos de Software
GCC176-14A - Gestão de Tecnologia da Informação","GMM110-15A - Laboratório de Matemática"

"21:00","-","GCC137-10A - Empreendedorismo em Sistemas de Informação
GCC137-14A - Empreendedorismo em Sistemas de Informação
GCC174-10A - Sistemas de Informação
GCC174-14A - Sistemas de Informação
GCC226-10A - Inovação Aberta
GCC226-14A - Inovação Aberta
GEL231-INT2 - Língua Inglesa em Contexto Acadêmico para Proficiência QCE A2","GAC116-10A - Programação WEB
GAC116-14A - Programação WEB
GPE106-18A - Língua Brasileira de Sinais (libras)","GCC176-14A - Gestão de Tecnologia da Informação
GMM126-14A - Funções Elementares
GMM126-15A - Funções Elementares","GCC174-10A - Sistemas de Informação
GCC174-14A - Sistemas de Informação
GMM133-15A - Análise Combinatória e Probabilidade","GCC189-10A - Informática na Educação
GCC189-14A - Informática na Educação
GCC244-14A - Processos de Software
GMM101-26A - Matemática Fundamental
GMM103-15A - Introdução à Lógica
GMM103-18A - Introdução à Lógica
GMM103-24A - Introdução à Lógica
GMM128-15A - Trigonometria e Números Complexos","-"

"22:00","-","GCC137-10A - Empreendedorismo em Sistemas de Informação
GCC137-14A - Empreendedorismo em Sistemas de Informação
GCC174-10A - Sistemas de Informação
GCC174-14A - Sistemas de Informação
GCC226-10A - Inovação Aberta
GCC226-14A - Inovação Aberta
GEL231-INT2 - Língua Inglesa em Contexto Acadêmico para Proficiência QCE A2","GAC116-10A - Programação WEB
GAC116-14A - Programação WEB
GPE106-18A - Língua Brasileira de Sinais (libras)","GCC176-14A - Gestão de Tecnologia da Informação
GMM126-14A - Funções Elementares
GMM126-15A - Funções Elementares","GCC174-10A - Sistemas de Informação
GCC174-14A - Sistemas de Informação
GMM133-15A - Análise Combinatória e Probabilidade","GCC189-10A - Informática na Educação
GCC189-14A - Informática na Educação
GCC244-14A - Processos de Software
GMM101-26A - Matemática Fundamental
GMM103-15A - Introdução à Lógica
GMM103-18A - Introdução à Lógica
GMM103-24A - Introdução à Lógica
GMM128-15A - Trigonometria e Números Complexos","-"
